window_id,channel index,channel name,sample index,value (uv)
Control1129,0,Fp1,5604,2.2852733951593018e-05
Control1129,0,Fp1,5605,2.284106187800598e-05
Control1129,0,Fp1,5606,2.1560042488607786e-05
Control1129,0,Fp1,5607,1.827771472904358e-05
Control1129,0,Fp1,5608,1.7681479341815185e-05
Control1129,0,Fp1,5609,2.0161147523937987e-05
Control1129,0,Fp1,5610,1.9124988360256958e-05
Control1129,0,Fp1,5611,1.3695213637289429e-05
Control1129,0,Fp1,5612,1.2319132338726806e-05
Control1129,0,Fp1,5613,1.3677427620394897e-05
Control1129,0,Fp1,5614,1.776932462230835e-05
Control1129,0,Fp1,5615,2.3617626555325317e-05
Control1129,0,Fp1,5616,2.6193253696057127e-05
Control1129,0,Fp1,5617,3.01351452553833e-05
Control1129,0,Fp1,5618,2.9096159342871092e-05
Control1129,0,Fp1,5619,2.2296563295953367e-05
Control1129,0,Fp1,5620,2.0625117291897582e-05
Control1129,0,Fp1,5621,2.4959147608425902e-05
Control1129,0,Fp1,5622,2.7143819143548582e-05
Control1129,0,Fp1,5623,2.7521488880639648e-05
Control1129,0,Fp1,5624,3.0047183745892334e-05
Control1129,0,Fp1,5625,2.8764107997302244e-05
Control1129,0,Fp1,5626,2.3722162617926023e-05
Control1129,0,Fp1,5627,2.1903841903646848e-05
Control1129,0,Fp1,5628,2.1892417189208984e-05
Control1129,0,Fp1,5629,2.5884334901281737e-05
Control1129,0,Fp1,5630,3.143739878861084e-05
Control1129,0,Fp1,5631,3.29855541381897e-05
Control1129,0,Fp1,5632,2.8772369196838376e-05
Control1129,0,Fp1,5633,1.8408902994909668e-05
Control1129,0,Fp1,5634,1.8398461756607054e-05
Control1129,0,Fp1,5635,2.7859333794714354e-05
Control1129,0,Fp1,5636,3.0433740530969236e-05
Control1129,0,Fp1,5637,3.144514142800293e-05
Control1129,0,Fp1,5638,3.348149731135254e-05
Control1129,0,Fp1,5639,3.512670685432739e-05
Control1129,0,Fp1,5640,3.271929436583862e-05
Control1129,0,Fp1,5641,3.163072933518677e-05
Control1129,0,Fp1,5642,3.5522234133850094e-05
Control1129,0,Fp1,5643,3.711804039229736e-05
Control1129,0,Fp1,5644,3.1976069529504394e-05
Control1129,0,Fp1,5645,2.6640267441375732e-05
Control1129,0,Fp1,5646,2.7262158144696043e-05
Control1129,0,Fp1,5647,2.9397329537792968e-05
Control1129,0,Fp1,5648,3.37776696593689e-05
